"season"	"bin_x"	"bin_y"	"n"
"2003-04"	1	2	7
"2003-04"	1	3	36
"2003-04"	1	4	70
"2003-04"	1	5	96
"2003-04"	1	6	95
"2003-04"	1	7	78
"2003-04"	1	8	32
"2003-04"	1	9	18
"2003-04"	1	10	15
"2003-04"	1	11	11
"2003-04"	1	12	14
"2003-04"	1	13	6
"2003-04"	1	14	4
"2003-04"	1	15	3
"2003-04"	1	18	1
"2003-04"	1	21	1
"2003-04"	2	2	26
"2003-04"	2	3	190
"2003-04"	2	4	303
"2003-04"	2	5	502
"2003-04"	2	6	595
"2003-04"	2	7	302
"2003-04"	2	8	170
"2003-04"	2	9	198
"2003-04"	2	10	128
"2003-04"	2	11	94
"2003-04"	2	12	82
"2003-04"	2	13	95
"2003-04"	2	14	43
"2003-04"	2	15	24
"2003-04"	2	16	33
"2003-04"	2	17	22
"2003-04"	2	18	17
"2003-04"	2	19	12
"2003-04"	2	20	3
"2003-04"	2	22	1
"2003-04"	2	23	1
"2003-04"	2	46	2
"2003-04"	2	47	1
"2003-04"	3	1	1
"2003-04"	3	2	18
"2003-04"	3	3	68
"2003-04"	3	4	176
"2003-04"	3	5	338
"2003-04"	3	6	371
"2003-04"	3	7	287
"2003-04"	3	8	121
"2003-04"	3	9	106
"2003-04"	3	10	78
"2003-04"	3	11	85
"2003-04"	3	12	76
"2003-04"	3	13	53
"2003-04"	3	14	50
"2003-04"	3	15	73
"2003-04"	3	16	99
"2003-04"	3	17	120
"2003-04"	3	18	127
"2003-04"	3	19	81
"2003-04"	3	20	33
"2003-04"	3	21	13
"2003-04"	3	22	3
"2003-04"	3	23	1
"2003-04"	3	24	1
"2003-04"	3	45	1
"2003-04"	3	46	2
"2003-04"	3	50	1
"2003-04"	3	77	1
"2003-04"	4	2	4
"2003-04"	4	3	17
"2003-04"	4	4	21
"2003-04"	4	5	48
"2003-04"	4	6	28
"2003-04"	4	7	23
"2003-04"	4	8	19
"2003-04"	4	9	14
"2003-04"	4	10	15
"2003-04"	4	11	12
"2003-04"	4	12	17
"2003-04"	4	13	13
"2003-04"	4	14	8
"2003-04"	4	15	11
"2003-04"	4	16	51
"2003-04"	4	17	104
"2003-04"	4	18	190
"2003-04"	4	19	164
