"YEAR"	"AGE"	"MARST"	"n"	"prop"
1900	0	6	1916975.4	1
1900	1	6	1750945.51	1
1900	2	6	1825203.12	1
1900	3	6	1825021.11	1
1900	4	6	1826842.31	1
1900	5	6	1804254.6	1
1900	6	6	1814506.72	1
1900	7	6	1773167	1
1900	8	6	1768972.46	1
1900	9	6	1662598.91	1
1900	10	6	1737072.59	1
1900	11	6	1566160.49	1
1900	12	1	19.96	0.0000121561677289022
1900	12	2	78.73	0.0000479486515679593
1900	12	4	58.87	0.0000358533864829895
1900	12	5	78.99	0.0000481069984421835
1900	12	6	1641728.29	0.999855934795778
1900	13	1	694.45	0.000449948335473652
1900	13	2	552.12	0.000357729822135089
1900	13	4	98.18	0.0000636128268079821
1900	13	5	177.82	0.000115213209034379
1900	13	6	1541876.85	0.999013495806549
1900	14	1	2956.08	0.00188632604921909
1900	14	2	940.15	0.000599926062614452
1900	14	4	96.14	0.0000613486057115922
1900	14	5	119.46	0.0000762295032068525
1900	14	6	1562997.95	0.997376169779248
1900	15	1	9838.87	0.00644593490906018
1900	15	2	1159.77	0.000759823224565496
1900	15	4	275.68	0.000180611730384659
1900	15	5	591.29	0.000387383597138512
1900	15	6	1514502.58	0.992226246538851
1900	16	1	30981.44	0.0199770617505416
1900	16	2	3170.57	0.00204440699575018
1900	16	4	356.19	0.000229673947528759
1900	16	5	850.45	0.000548376452668052
1900	16	6	1515492.04	0.977200480853512
1900	17	1	62903.61	0.0425681676038198
1900	17	2	6489.54	0.00439160528929409
1900	17	4	431.82	0.000292221481957577
1900	17	5	1850.55	0.00125230527404149
1900	17	6	1406039.25	0.951495700350887
1900	18	1	126942.08	0.0823477053802549
1900	18	2	11197.08	0.00726357914537988
1900	18	4	900.17	0.000583942960066072
1900	18	5	2950.51	0.00191400462479814
1900	18	6	1399547.71	0.907890767889501
1900	19	1	188820.83	0.13154403165609
1900	19	2	15554.63	0.010836297780911
1900	19	4	987.91	0.000688237967778068
1900	19	5	4579.97	0.00319068462236896
1900	19	6	1225475.87	0.853740747972852
1900	20	1	300927.52	0.196814404455685
1900	20	2	20956.43	0.0137060488517875
1900	20	4	1866.97	0.00122104681116114
1900	20	5	8999.91	0.00588617460711059
1900	20	6	1196240.51	0.782372325274256
